Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S3,Female,Inc5,18-34,0.08754995916576179,0.0045655572234659676,0.08038000133807831,0.09526253926677299
S0,Male,Inc5,18-34,0.49718904129459907,0.006839584451036166,0.48644006582799976,0.50863089680274
S1,Male,Inc5,18-34,0.28829568049117915,0.005999322876482891,0.27757169867172754,0.2973264568961661
S2,Male,Inc5,18-34,0.12936371678762112,0.004809728730523149,0.1217410792566848,0.13741334159224694
S3,Male,Inc5,18-34,0.08515156142660063,0.0042885815063512436,0.07836900041236318,0.09240016844690199
S0,Female,Inc1,35-49,0.7583757038888775,0.00686881948665431,0.7473466681470895,0.7700422787937347
S1,Female,Inc1,35-49,0.16263641655390543,0.005850697586797109,0.15242655957384413,0.1717672298163796
S2,Female,Inc1,35-49,0.05412484395654627,0.0033121455402962403,0.04860601506348257,0.05942456395122993
S3,Female,Inc1,35-49,0.024863035600670783,0.0021686620092192747,0.021357452749437778,0.028410849171163405
S0,Male,Inc1,35-49,0.7715372177232034,0.006906291220211122,0.7606029199259283,0.7834890242115691
S1,Male,Inc1,35-49,0.15812546511197684,0.005870189665143868,0.14768351052684717,0.16705705797918505
S2,Male,Inc1,35-49,0.0487733682986468,0.0031020758130494083,0.043424534739611116,0.05377219731758293
S3,Male,Inc1,35-49,0.021563948866172956,0.0019581314070106397,0.018294676477745724,0.024684205936395268
S0,Female,Inc2,35-49,0.6677158275034023,0.007073053445630935,0.6564047534375084,0.6798188960416626
S1,Female,Inc2,35-49,0.20914032756452905,0.006100129279292966,0.19864781734164294,0.2186212044883446
S2,Female,Inc2,35-49,0.07487708571084324,0.0039017117920483457,0.06832136835863603,0.08098601764310108
S3,Female,Inc2,35-49,0.04826675922122525,0.0031390207543989693,0.043065417843911054,0.053464999818386344
S0,Male,Inc2,35-49,0.6910189679850812,0.006930273603918373,0.6794566472328677,0.7019562087325313
S1,Male,Inc2,35-49,0.20535697141553708,0.005856059519890373,0.1962829524003368,0.21573052979534196
S2,Male,Inc2,35-49,0.06528063137552517,0.003403073708785889,0.05978158313785112,0.07102319676094507
S3,Male,Inc2,35-49,0.03834342922385654,0.002465030963376187,0.034329181636706556,0.0423536848028856
S0,Female,Inc3,35-49,0.7566969642596578,0.007498273042052548,0.7447206026325764,0.7691943661984313
S1,Female,Inc3,35-49,0.1590529169410197,0.006200246464358266,0.14936125328074887,0.1700769821583815
S2,Female,Inc3,35-49,0.054099331411900875,0.003578890043051837,0.04832701376143429,0.05993817777591515
S3,Female,Inc3,35-49,0.030150787387421524,0.0026445006847065308,0.025871364021912594,0.034452991114986446
S0,Male,Inc3,35-49,0.7539096370836219,0.006499011502289845,0.7425333047694205,0.7638589715984863
S1,Male,Inc3,35-49,0.15985899792724362,0.005489992847894099,0.15036774123114274,0.16850411884485417
