,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa_j_ordered__[0],-1.349,0.234,-1.722,-0.958,0.004,0.003,3415.0,4224.0,1.0
kappa_j_ordered__[1],-0.044,0.023,-0.082,-0.008,0.0,0.0,10943.0,5093.0,1.0
kappa_j_ordered__[2],-0.223,0.022,-0.261,-0.188,0.0,0.0,10163.0,5057.0,1.0
kappa_j_ordered__[3],0.045,0.021,0.01,0.078,0.0,0.0,11410.0,5391.0,1.0
delta_z_simplex__[0],0.802,0.36,0.212,1.351,0.005,0.004,6347.0,4644.0,1.0
delta_z_simplex__[1],-0.155,0.603,-1.042,0.778,0.008,0.007,7513.0,4505.0,1.0
delta_z_simplex__[2],0.447,0.459,-0.29,1.169,0.006,0.005,6193.0,5209.0,1.0
"kappa_k_ordered__[0, 0]",0.525,0.277,0.069,0.974,0.003,0.002,7029.0,5224.0,1.0
"kappa_k_ordered__[0, 1]",0.363,0.056,0.271,0.454,0.001,0.0,10336.0,5709.0,1.0
"kappa_k_ordered__[0, 2]",0.262,0.096,0.108,0.422,0.001,0.001,11191.0,5785.0,1.0
"kappa_k_ordered__[1, 0]",0.507,0.273,0.079,0.982,0.003,0.003,6389.0,5145.0,1.0
"kappa_k_ordered__[1, 1]",0.443,0.053,0.359,0.533,0.0,0.0,11900.0,5445.0,1.0
"kappa_k_ordered__[1, 2]",0.093,0.102,-0.068,0.261,0.001,0.001,10765.0,5317.0,1.0
"kappa_k_ordered__[2, 0]",0.545,0.271,0.097,0.977,0.004,0.003,5761.0,5270.0,1.0
"kappa_k_ordered__[2, 1]",0.375,0.048,0.296,0.454,0.0,0.0,10795.0,5305.0,1.0
"kappa_k_ordered__[2, 2]",-0.01,0.085,-0.152,0.124,0.001,0.001,11689.0,4880.0,1.0
"kappa_k_ordered__[3, 0]",0.415,0.273,-0.028,0.87,0.003,0.003,6861.0,5032.0,1.0
"kappa_k_ordered__[3, 1]",0.474,0.046,0.398,0.549,0.0,0.0,10328.0,5779.0,1.0
"kappa_k_ordered__[3, 2]",0.03,0.085,-0.108,0.167,0.001,0.001,11407.0,5494.0,1.0
"kappa_k_ordered__[4, 0]",0.801,0.273,0.34,1.234,0.003,0.002,7662.0,5401.0,1.0
"kappa_k_ordered__[4, 1]",0.145,0.066,0.045,0.264,0.001,0.0,11916.0,5800.0,1.0
"kappa_k_ordered__[4, 2]",0.094,0.103,-0.075,0.265,0.001,0.001,11446.0,5402.0,1.0
"kappa_k_ordered__[5, 0]",0.769,0.279,0.303,1.225,0.003,0.002,7329.0,5525.0,1.0
"kappa_k_ordered__[5, 1]",0.199,0.065,0.092,0.306,0.001,0.0,9547.0,5506.0,1.0
"kappa_k_ordered__[5, 2]",0.066,0.105,-0.108,0.234,0.001,0.001,11143.0,5259.0,1.0
"kappa_k_ordered__[6, 0]",0.663,0.272,0.202,1.09,0.003,0.002,6937.0,5726.0,1.0
"kappa_k_ordered__[6, 1]",0.273,0.062,0.174,0.377,0.001,0.0,11291.0,6088.0,1.0
"kappa_k_ordered__[6, 2]",0.223,0.102,0.054,0.391,0.001,0.001,11506.0,4747.0,1.0
"kappa_k_ordered__[7, 0]",0.987,0.279,0.518,1.434,0.003,0.002,8970.0,5845.0,1.0
"kappa_k_ordered__[7, 1]",0.012,0.093,-0.148,0.155,0.001,0.001,10067.0,5717.0,1.0
"kappa_k_ordered__[7, 2]",0.204,0.137,-0.006,0.442,0.001,0.001,10644.0,5592.0,1.0
"kappa_k_ordered__[8, 0]",0.863,0.286,0.384,1.313,0.003,0.002,7246.0,5543.0,1.0
"kappa_k_ordered__[8, 1]",0.174,0.092,0.028,0.332,0.001,0.001,11941.0,6074.0,1.0
"kappa_k_ordered__[8, 2]",0.296,0.149,0.046,0.532,0.001,0.001,11231.0,5066.0,1.0
sigma_e1_med,0.425,0.11,0.245,0.601,0.002,0.001,4796.0,5132.0,1.0
sigma_e2_med,0.787,0.113,0.607,0.975,0.002,0.001,4202.0,4454.0,1.0
sigma_e1_out,0.604,0.128,0.393,0.805,0.002,0.001,4868.0,5346.0,1.0
sigma_e2_out,0.218,0.086,0.089,0.354,0.002,0.001,2572.0,3381.0,1.0
kappa_j[0],-1.349,0.234,-1.722,-0.958,0.004,0.003,3415.0,4224.0,1.0
kappa_j[1],-0.392,0.234,-0.779,-0.019,0.004,0.003,3431.0,4235.0,1.0
kappa_j[2],0.407,0.234,0.038,0.796,0.004,0.003,3446.0,4371.0,1.0
kappa_j[3],1.453,0.234,1.064,1.823,0.004,0.003,3454.0,4159.0,1.0
delta_z[0],0.423,0.078,0.293,0.546,0.001,0.001,9206.0,7199.0,1.0
delta_z[1],0.188,0.09,0.038,0.328,0.001,0.001,7624.0,4427.0,1.0
delta_z[2],0.304,0.081,0.175,0.441,0.001,0.001,8857.0,6157.0,1.0
delta_z[3],0.086,0.056,0.0,0.163,0.001,0.0,7511.0,5402.0,1.0
"kappa_k[Dep_1, 0]",0.525,0.277,0.069,0.974,0.003,0.002,7029.0,5224.0,1.0
"kappa_k[Dep_1, 1]",1.965,0.275,1.526,2.428,0.003,0.002,7195.0,5865.0,1.0
"kappa_k[Dep_1, 2]",3.27,0.284,2.802,3.735,0.003,0.002,7622.0,6131.0,1.0
"kappa_k[Dep_2, 0]",0.507,0.273,0.079,0.982,0.003,0.003,6389.0,5145.0,1.0
"kappa_k[Dep_2, 1]",2.068,0.273,1.646,2.542,0.003,0.002,6566.0,5279.0,1.0
"kappa_k[Dep_2, 2]",3.171,0.281,2.705,3.625,0.003,0.002,6850.0,5968.0,1.0
"kappa_k[Dep_3, 0]",0.545,0.271,0.097,0.977,0.004,0.003,5761.0,5270.0,1.0
"kappa_k[Dep_3, 1]",2.001,0.269,1.564,2.44,0.003,0.002,6108.0,5380.0,1.0
"kappa_k[Dep_3, 2]",2.994,0.273,2.567,3.462,0.003,0.002,6368.0,5515.0,1.0
"kappa_k[Dep_4, 0]",0.415,0.273,-0.028,0.87,0.003,0.003,6861.0,5032.0,1.0
"kappa_k[Dep_4, 1]",2.024,0.272,1.566,2.46,0.003,0.002,6898.0,5655.0,1.0
