Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S2,Male,Inc5,18-34,0.09817894102036338,0.005421999112069298,0.08897143276835263,0.10679250422642791
S3,Male,Inc5,18-34,0.07168472265483278,0.004736530936389773,0.06372466457854388,0.07921331611685473
S0,Female,Inc1,35-49,0.6242668680671282,0.010687041812496977,0.6073630244989005,0.6421016712611918
S1,Female,Inc1,35-49,0.2512066724017183,0.009283049683797921,0.2365094100974278,0.2668479669030433
S2,Female,Inc1,35-49,0.07324911882292025,0.005469155449762457,0.06400783545543617,0.08201716143288236
S3,Female,Inc1,35-49,0.05127734070823332,0.004389298012743653,0.044509616849962186,0.05872239184211171
S0,Male,Inc1,35-49,0.6564462214729652,0.011047297079212303,0.6382146817138146,0.67443230557872
S1,Male,Inc1,35-49,0.2419492732209319,0.009584938443314782,0.22639479725876846,0.25786838098630893
S2,Male,Inc1,35-49,0.06134111510521234,0.004859699336718432,0.05311881246782875,0.06906655668582595
S3,Male,Inc1,35-49,0.04026339020089054,0.003667817211226031,0.03458014837786364,0.04644492200036845
S0,Female,Inc2,35-49,0.7079851149452893,0.010447901832131259,0.6913439705634845,0.725007550616087
S1,Female,Inc2,35-49,0.20300783577989567,0.008591121572676679,0.18789949111273746,0.21627453966427043
S2,Female,Inc2,35-49,0.054464842577722605,0.004338760990590408,0.04710884195410029,0.061161004997875246
S3,Female,Inc2,35-49,0.0345422066970924,0.0035124052032828893,0.02883130044710048,0.040241510119376725
S0,Male,Inc2,35-49,0.6972394500238495,0.010256190101727342,0.6816918780348652,0.7150842666834046
S1,Male,Inc2,35-49,0.21292442909455064,0.008717984738565316,0.19941215526552272,0.22817010637749982
S2,Male,Inc2,35-49,0.05547352341760068,0.004333395404951847,0.04852075498475433,0.06260677997762566
S3,Male,Inc2,35-49,0.03436259746399911,0.0032017817770993422,0.028837187691303123,0.03940484740500449
S0,Female,Inc3,35-49,0.7057565865854346,0.010507543782086966,0.6883445928666785,0.7226535290479266
S1,Female,Inc3,35-49,0.20806155872214396,0.009408762452212938,0.19363274206578698,0.2243933547978354
S2,Female,Inc3,35-49,0.052882712235700596,0.004875918247947388,0.044672091445050445,0.06072762631767875
S3,Female,Inc3,35-49,0.03329914245672076,0.003930541354053564,0.026869740377145172,0.03965734780024921
S0,Male,Inc3,35-49,0.7264696484267511,0.010230554610250705,0.7084061817243728,0.7425008913318188
S1,Male,Inc3,35-49,0.1967899380960402,0.009005193213103528,0.18311814546288646,0.21272898194290726
S2,Male,Inc3,35-49,0.047644133120975485,0.00429863855633185,0.04112318182004347,0.05523159292544071
S3,Male,Inc3,35-49,0.029096280356233295,0.0033223086812827424,0.02389885095132661,0.034803110996274145
S0,Female,Inc4,35-49,0.6169299949263434,0.007433676237744854,0.6035993621202334,0.6282515121006466
S1,Female,Inc4,35-49,0.25264821745995697,0.006587884239128584,0.24143194517116282,0.26296014074172014
S2,Female,Inc4,35-49,0.07587907041080878,0.004106677613208427,0.06880879541364668,0.08224232796183663
S3,Female,Inc4,35-49,0.054542717202890924,0.0036247910671585834,0.04870866440244761,0.06079818453940658
S0,Male,Inc4,35-49,0.6181929734459498,0.008961078772170967,0.6034550390381781,0.6329348211376823
S1,Male,Inc4,35-49,0.250320795320367,0.007588888147360347,0.23735445267865762,0.2621404743295077
S2,Male,Inc4,35-49,0.07619475569391972,0.004792623041623145,0.06844383169435819,0.08407440406508884
S3,Male,Inc4,35-49,0.05529147553976345,0.0043609238167185505,0.04841667521277668,0.06281544877554929
S0,Female,Inc5,35-49,0.5389562142650166,0.008590845474888552,0.5250585731779844,0.5532093815767115
S1,Female,Inc5,35-49,0.2865944848640585,0.007424589583116858,0.2744971569576705,0.2986255868373885
S2,Female,Inc5,35-49,0.10075588420461382,0.00564776245469765,0.0913757612624349,0.10984177007818732
S3,Female,Inc5,35-49,0.07369341666631114,0.005017202039970993,0.06532408469857948,0.08170833824023818
S0,Male,Inc5,35-49,0.5375140365158345,0.00877170435294435,0.5238525074120812,0.552616111003248
S1,Male,Inc5,35-49,0.28915533124086046,0.007465481411118661,0.27723368525788167,0.3015971236870094
S2,Male,Inc5,35-49,0.10129453574810549,0.005564168808355283,0.09168275907813188,0.11015151764417551
S3,Male,Inc5,35-49,0.0720360964951995,0.004817828324153195,0.06415421053541039,0.0799047411680201
S0,Female,Inc1,50-64,0.6242668680671282,0.010687041812496977,0.6073630244989005,0.6421016712611918
