wave,gender,income_comparison,age,mean_effect,std,sem,hdi_5,hdi_95
Wave-6,Female,"£0-£300→£1,112+",55.55555555555556,0.07054827736020948,0.024574080000474587,0.0007771006420469134,0.03075541167153388,0.11192991103578515
Wave-6,Female,"£0-£300→£1,112+",56.57142857142857,0.07045836428627295,0.02454633802125927,0.000776223363635699,0.030612823833041803,0.11177101373807596
Wave-6,Female,"£0-£300→£1,112+",57.58730158730158,0.07036700295415109,0.024518388297355122,0.0007753395157605993,0.03046087431932833,0.11160331959011058
Wave-6,Female,"£0-£300→£1,112+",58.6031746031746,0.0702742302999108,0.024490259329597548,0.0007744499996971655,0.030383259248456463,0.11123351112987452
Wave-6,Female,"£0-£300→£1,112+",59.61904761904762,0.0701800830845659,0.02446197945625208,0.0007735557115800379,0.03035921650836729,0.11086484830314974
Wave-6,Female,"£0-£300→£1,112+",60.63492063492063,0.07008459785041429,0.024433576787383334,0.00077265754032751,0.030157301910314144,0.11066467653988553
Wave-6,Female,"£0-£300→£1,112+",61.650793650793645,0.06998781087878207,0.02440507914061112,0.0007717563656099585,0.030044403553369122,0.1106562616805266
Wave-6,Female,"£0-£300→£1,112+",62.666666666666664,0.06988975814928888,0.024376513978537264,0.0007708530558711061,0.029803075470973883,0.11047641335028925
Wave-6,Female,"£0-£300→£1,112+",63.682539682539684,0.06979047530074306,0.024347908348114577,0.0007699484664106991,0.02949031965824452,0.11013300415814617
Wave-6,Female,"£0-£300→£1,112+",64.6984126984127,0.0696899975937641,0.02431928882221503,0.0007690434375367317,0.029453283826571718,0.10978255518884891
Wave-6,Female,"£0-£300→£1,112+",65.71428571428571,0.06958835987522277,0.024290681443638332,0.000768138792794841,0.0294229498349011,0.10942753367663666
Wave-6,Female,"£0-£300→£1,112+",66.73015873015873,0.06948559654457807,0.024262111671784325,0.0007672353372819407,0.02942227180079641,0.10922652799558447
Wave-6,Female,"£0-£300→£1,112+",67.74603174603175,0.0693817415221805,0.02423360433219347,0.0007663338560505507,0.029393694483338454,0.1091551090107292
Wave-6,Female,"£0-£300→£1,112+",68.76190476190476,0.06927682821960111,0.024205183569139255,0.0007654351126096378,0.029290409218527717,0.10915851729329921
Wave-6,Female,"£0-£300→£1,112+",69.77777777777777,0.0691708895120347,0.024176872801434653,0.0007645398475270931,0.029169666875390916,0.1091101407560709
Wave-6,Female,"£0-£300→£1,112+",70.79365079365078,0.0690639577128143,0.024148694681592003,0.0007636487771382535,0.029048583287055063,0.10892673759770048
Wave-6,Female,"£0-£300→£1,112+",71.80952380952381,0.06895606455006442,0.02412067105845249,0.0007627625923641428,0.028927173261483415,0.10872168894708266
Wave-6,Female,"£0-£300→£1,112+",72.82539682539682,0.06884724114550843,0.024092822943377272,0.0007618819576423412,0.02880667953573897,0.10847275998835221
Wave-6,Female,"£0-£300→£1,112+",73.84126984126983,0.06873751799543532,0.02406517048006797,0.0007610075099726249,0.028685239666001942,0.108219158894182
Wave-6,Female,"£0-£300→£1,112+",74.85714285714286,0.06862692495382085,0.024037732918059815,0.0007601398580787462,0.02856274473085214,0.10795246582986724
Wave-6,Female,"£0-£300→£1,112+",75.87301587301587,0.06851549121758707,0.024010528589906422,0.0007592795816869526,0.028451334003022317,0.1076984561847732
